,words,count
1814,straw,19
1815,bother,19
1816,abt,19
1817,cum,19
1818,arab,19
1819,launch,19
1820,nutritious,19
1821,zeng,19
1822,conduct,19
1823,hahaha,19
1824,purple,19
1825,halimah,19
1826,program,19
1827,prize,19
1828,afternoon,19
1829,floor,19
1830,wonderful,19
1831,offering,19
1832,ti,19
1833,skill,19
1834,collection,19
1835,queen,19
1836,ai,19
1837,tour,19
1838,ta,19
1839,sm,19
1840,pen,19
1841,cite,19
1842,pc,19
1843,talent,19
1844,crap,19
1845,assistant,19
1846,indeed,19
1847,mince,19
1848,material,19
1849,brush,19
1850,ong,19
